"Year","Country","Rate","Metavoli"
"1980","Malaysia","2.1768","-0.011499999999999844"
"1981","Malaysia","2.3048","0.1280000000000001"
"1982","Malaysia","2.3356","0.030799999999999716"
"1983","Malaysia","2.3205","-0.015099999999999891"
"1984","Malaysia","2.3428","0.022299999999999986"
"1985","Malaysia","2.4807","0.13790000000000013"
"1986","Malaysia","2.5831","0.10239999999999982"
"1987","Malaysia","2.5186","-0.06449999999999978"
"1988","Malaysia","2.619","0.10040000000000004"
"1989","Malaysia","2.7079","0.08889999999999976"
"1990","Malaysia","2.7049","-0.0030000000000001137"
"1991","Malaysia","2.7503","0.04540000000000033"
"1992","Malaysia","2.5463","-0.20400000000000018"
"1993","Malaysia","2.5738","0.027499999999999858"
"1994","Malaysia","2.6237","0.049900000000000055"
"1995","Malaysia","2.5073","-0.11640000000000006"
"1996","Malaysia","2.5154","0.008100000000000218"
"1997","Malaysia","2.8173","0.30189999999999984"
"1998","Malaysia","3.9254","1.1080999999999999"
"1999","Malaysia","3.8","-0.12539999999999996"
"2000","Malaysia","3.8","0.0"
"2001","Malaysia","3.8","0.0"
"2002","Malaysia","3.8","0.0"
"2003","Malaysia","3.8","0.0"
"2004","Malaysia","3.8","0.0"
"2005","Malaysia","3.7869","-0.013099999999999667"
"2006","Malaysia","3.6661","-0.12080000000000002"
"2007","Malaysia","3.4354","-0.23070000000000013"
"2008","Malaysia","3.3292","-0.10619999999999985"
"2009","Malaysia","3.5231","0.19389999999999974"
"2010","Malaysia","3.2175","-0.3056000000000001"
"2011","Malaysia","3.0564","-0.1610999999999998"
"2012","Malaysia","3.0862","0.029799999999999827"
"2013","Malaysia","3.1488","0.06260000000000021"
"2014","Malaysia","3.2697","0.12089999999999979"
"2015","Malaysia","3.9041","0.6344000000000003"
"2016","Malaysia","4.1372","0.23309999999999986"
"1993","Mexico","3.124","  "
"1994","Mexico","3.385","0.2609999999999997"
"1995","Mexico","6.447","3.0620000000000003"
"1996","Mexico","7.6","1.1529999999999996"
"1997","Mexico","7.918","0.3180000000000005"
"1998","Mexico","9.152","1.233999999999999"
"1999","Mexico","9.553","0.4010000000000016"
"2000","Mexico","9.459","-0.0940000000000012"
"2001","Mexico","9.337","-0.12199999999999989"
"2002","Mexico","9.663","0.3260000000000005"
"2003","Mexico","10.793","1.129999999999999"
"2004","Mexico","11.29","0.4969999999999999"
"2005","Mexico","10.894","-0.395999999999999"
"2006","Mexico","10.906","0.012000000000000455"
"2007","Mexico","10.928","0.02200000000000024"
"2008","Mexico","11.143","0.21499999999999986"
"2009","Mexico","13.498","2.3549999999999986"
"2010","Mexico","12.624","-0.8739999999999988"
"2011","Mexico","12.427","-0.19700000000000095"
"2012","Mexico","13.154","0.7270000000000003"
"2013","Mexico","12.758","-0.3960000000000008"
"2014","Mexico","13.302","0.5440000000000005"
"2015","Mexico","15.874","2.572000000000001"
"2016","Mexico","18.667","2.793000000000001"
"1971","New Zealand","0.88","  "
"1972","New Zealand","0.8379","-0.042100000000000026"
"1973","New Zealand","0.7355","-0.10239999999999994"
"1974","New Zealand","0.7142","-0.021300000000000097"
"1975","New Zealand","0.8254","0.11120000000000008"
"1976","New Zealand","1.0089","0.18349999999999989"
"1977","New Zealand","1.0321","0.02320000000000011"
"1978","New Zealand","0.9649","-0.06720000000000004"
"1979","New Zealand","0.9782","0.013299999999999979"
"1980","New Zealand","1.0273","0.049100000000000144"
"1981","New Zealand","1.1514","0.12409999999999988"
"1982","New Zealand","1.3316","0.18019999999999992"
"1983","New Zealand","1.4972","0.1656000000000002"
"1984","New Zealand","1.7289","0.23170000000000002"
"1985","New Zealand","2.0101","0.2811999999999999"
"1986","New Zealand","1.9062","-0.1039000000000001"
"1987","New Zealand","1.6855","-0.2206999999999999"
"1988","New Zealand","1.5253","-0.1601999999999999"
"1989","New Zealand","1.6725","0.1472"
"1990","New Zealand","1.6773","0.0047999999999999154"
"1991","New Zealand","1.7292","0.05190000000000006"
"1992","New Zealand","1.8591","0.1298999999999999"
"1993","New Zealand","1.8474","-0.011700000000000044"
"1994","New Zealand","1.6846","-0.16279999999999983"
"1995","New Zealand","1.5237","-0.16090000000000004"
"1996","New Zealand","1.4541","-0.0696000000000001"
"1997","New Zealand","1.5094","0.05530000000000013"
"1998","New Zealand","1.8653","0.3558999999999999"
"1999","New Zealand","1.8896","0.02429999999999999"
"2000","New Zealand","2.1891","0.2994999999999999"
"2001","New Zealand","2.3798","0.1907000000000001"
"2002","New Zealand","2.1529","-0.2269000000000001"
"2003","New Zealand","1.7176","-0.4352999999999998"
"2004","New Zealand","1.5053","-0.21229999999999993"
"2005","New Zealand","1.4186","-0.0867"
"2006","New Zealand","1.5404","0.12179999999999991"
"2007","New Zealand","1.3578","-0.1826000000000001"
